Location,Date,Temperature,Humidity,AirQualityIndex
Lake View,2021-12-20,41.5,103,-13
Meadowlands,2021-12-21,44.5,108,-14
Greenwood,2021-12-22,46.0,113,-23
Woodland Park,2021-12-23,39.5,94,-7
Riverside,2021-12-24,40.5,99,-11
Lake View,2021-12-25,42.0,104,-14
Meadowlands,2021-12-26,45.0,109,-15
Greenwood,2021-12-27,46.5,114,-24
Woodland Park,2021-12-28,40.0,95,-8
Riverside,2021-12-29,41.0,100,-12
Lake View,2021-12-30,42.5,105,-15
Meadowlands,2021-12-31,45.5,110,-16
Greenwood,2022-01-01,47.0,115,-25
Woodland Park,2022-01-02,40.5,96,-9
Riverside,2022-01-03,41.5,101,-13
Lake View,2022-01-04,43.0,106,-16
Meadowlands,2022-01-05,46.0,111,-17
Greenwood,2022-01-06,47.5,116,-26
Woodland Park,2022-01-07,41.0,97,-10
Riverside,2022-01-08,42.0,102,-14
Lake View,2022-01-09,43.5,107,-17
Meadowlands,2022-01-10,46.5,112,-18
Greenwood,2022-01-11,48.0,117,-27
Woodland Park,2022-01-12,41.5,98,-11
Riverside,2022-01-13,42.5,103,-15
Lake View,2022-01-14,44.0,108,-18
Meadowlands,2022-01-15,47.0,113,-19
Greenwood,2022-01-16,48.5,118,-28
Woodland Park,2022-01-17,42.0,99,-12
Riverside,2022-01-18,43.0,104,-16
Lake View,2022-01-19,44.5,109,-19
Meadowlands,2022-01-20,47.5,114,-20
Greenwood,2022-01-21,49.0,119,-29
Woodland Park,2022-01-22,42.5,100,-13
Riverside,2022-01-23,43.5,105,-17
Lake View,2022-01-24,45.0,110,-20
Meadowlands,2022-01-25,48.0,115,-21
Greenwood,2022-01-26,49.5,120,-30
Woodland Park,2022-01-27,43.0,101,-14
Riverside,2022-01-28,44.0,106,-18
Lake View,2022-01-29,45.5,111,-21
Meadowlands,2022-01-30,48.5,116,-22
Greenwood,2022-01-31,50.0,121,-31
Woodland Park,2022-02-01,43.5,102,-15
Riverside,2022-02-02,44.5,107,-19
Lake View,2022-02-03,46.0,112,-22
Meadowlands,2022-02-04,49.0,117,-23
Greenwood,2022-02-05,50.5,122,-32
Woodland Park,2022-02-06,44.0,103,-16
Riverside,2022-02-07,45.0,108,-20
Lake View,2022-02-08,46.5,113,-23
Meadowlands,2022-02-09,49.5,118,-24
Greenwood,2022-02-10,51.0,123,-33
Woodland Park,2022-02-11,44.5,104,-17
Riverside,2022-02-12,45.5,109,-21
Lake View,2022-02-13,47.0,114,-24
Meadowlands,2022-02-14,50.0,119,-25
Greenwood,2022-02-15,51.5,124,-34
Woodland Park,2022-02-16,45.0,105,-18
Riverside,2022-02-17,46.0,110,-22
Lake View,2022-02-18,47.5,115,-25
Meadowlands,2022-02-19,50.5,120,-26
Greenwood,2022-02-20,52.0,125,-35
Woodland Park,2022-02-21,45.5,106,-19
Riverside,2022-02-22,46.5,111,-23
Lake View,2022-02-23,48.0,116,-26
Meadowlands,2022-02-24,51.0,121,-27
Greenwood,2022-02-25,52.5,126,-36
Woodland Park,2022-02-26,46.0,107,-20
Riverside,2022-02-27,47.0,112,-24
Lake View,2022-02-28,48.5,117,-27
Meadowlands,2022-03-01,51.5,122,-28
Greenwood,2022-03-02,53.0,127,-37
Woodland Park,2022-03-03,46.5,108,-21
Riverside,2022-03-04,47.5,113,-25
Lake View,2022-03-05,49.0,118,-28
Meadowlands,2022-03-06,52.0,123,-29
Greenwood,2022-03-07,53.5,128,-38
Woodland Park,2022-03-08,47.0,109,-22
Riverside,2022-03-09,48.0,114,-26
Lake View,2022-03-10,49.5,119,-29
Meadowlands,2022-03-11,52.5,124,-30
Greenwood,2022-03-12,54.0,129,-39
Woodland Park,2022-03-13,47.5,110,-23
Riverside,2022-03-14,48.5,115,-27
Lake View,2022-03-15,50.0,120,-30
Meadowlands,2022-03-16,53.0,125,-31
Greenwood,2022-03-17,54.5,130,-40
Woodland Park,2022-03-18,48.0,111,-24
Riverside,2022-03-19,49.0,116,-28
Lake View,2022-03-20,50.5,121,-31
Meadowlands,2022-03-21,53.5,126,-32
Greenwood,2022-03-22,55.0,131,-41
Woodland Park,2022-03-23,48.5,112,-25
Riverside,2022-03-24,49.5,117,-29
Lake View,2022-03-25,51.0,122,-32
Meadowlands,2022-03-26,54.0,127,-33
Greenwood,2022-03-27,55.5,132,-42
Woodland Park,2022-03-28,49.0,113,-26
Riverside,2022-03-29,50.0,118,-30
Lake View,2022-03-30,51.5,123,-33
Meadowlands,2022-03-31,54.5,128,-34
Greenwood,2022-04-01,56.0,133,-43
Woodland Park,2022-04-02,49.5,114,-27
Riverside,2022-04-03,50.5,119,-31
Lake View,2022-04-04,52.0,124,-34
Meadowlands,2022-04-05,55.0,129,-35
Greenwood,2022-04-06,56.5,134,-44
Woodland Park,2022-04-07,50.0,115,-28
Riverside,2022-04-08,51.0,120,-32
Lake View,2022-04-09,52.5,125,-35
Meadowlands,2022-04-10,55.5,130,-36
Greenwood,2022-04-11,57.0,135,-45
Woodland Park,2022-04-12,50.5,116,-29
Riverside,2022-04-13,51.5,121,-33
Lake View,2022-04-14,53.0,126,-36
Meadowlands,2022-04-15,56.0,131,-37
Greenwood,2022-04-16,57.5,136,-46
Woodland Park,2022-04-17,51.0,117,-30
Riverside,2022-04-18,52.0,122,-34
Lake View,2022-04-19,53.5,127,-37
Meadowlands,2022-04-20,56.5,132,-38
Greenwood,2022-04-21,58.0,137,-47
Woodland Park,2022-04-22,51.5,118,-31
Riverside,2022-04-23,52.5,123,-35
Lake View,2022-04-24,54.0,128,-38
Meadowlands,2022-04-25,57.0,133,-39
Greenwood,2022-04-26,58.5,138,-48
Woodland Park,2022-04-27,52.0,119,-32
Riverside,2022-04-28,53.0,124,-36
Lake View,2022-04-29,54.5,129,-39
Meadowlands,2022-04-30,57.5,134,-40
Greenwood,2022-05-01,59.0,139,-49
Woodland Park,2022-05-02,52.5,120,-33
Riverside,2022-05-03,53.5,125,-37
Lake View,2022-05-04,55.0,130,-40
Meadowlands,2022-05-05,58.0,135,-41
Greenwood,2022-05-06,59.5,140,-50
Woodland Park,2022-05-07,53.0,121,-34
Riverside,2022-05-08,54.0,126,-38
Lake View,2022-05-09,55.5,131,-41
Meadowlands,2022-05-10,58.5,136,-42
Greenwood,2022-05-11,60.0,141,-51
Woodland Park,2022-05-12,53.5,122,-35
Riverside,2022-05-13,54.5,127,-39
Lake View,2022-05-14,56.0,132,-42
Meadowlands,2022-05-15,59.0,137,-43
Greenwood,2022-05-16,60.5,142,-52
Woodland Park,2022-05-17,54.0,123,-36
Riverside,2022-05-18,55.0,128,-40
Lake View,2022-05-19,56.5,133,-43
Meadowlands,2022-05-20,59.5,138,-44
Greenwood,2022-05-21,61.0,143,-53
Woodland Park,2022-05-22,54.5,124,-37
Riverside,2022-05-23,55.5,129,-41
Lake View,2022-05-24,57.0,134,-44
Meadowlands,2022-05-25,60.0,139,-45
Greenwood,2022-05-26,61.5,144,-54
Woodland Park,2022-05-27,55.0,125,-38
Riverside,2022-05-28,56.0,130,-42
Lake View,2022-05-29,57.5,135,-45
Meadowlands,2022-05-30,60.5,140,-46
Greenwood,2022-05-31,62.0,145,-55
Woodland Park,2022-06-01,55.5,126,-39
Riverside,2022-06-02,56.5,131,-43
Lake View,2022-06-03,58.0,136,-46
Meadowlands,2022-06-04,61.0,141,-47
Greenwood,2022-06-05,62.5,146,-56
Woodland Park,2022-06-06,56.0,127,-40
Riverside,2022-06-07,57.0,132,-44
Lake View,2022-06-08,58.5,137,-47
Meadowlands,2022-06-09,61.5,142,-48
Greenwood,2022-06-10,63.0,147,-57
Woodland Park,2022-06-11,56.5,128,-41
Riverside,2022-06-12,57.5,133,-45
Lake View,2022-06-13,59.0,138,-48
Meadowlands,2022-06-14,62.0,143,-49
Greenwood,2022-06-15,63.5,148,-58
Woodland Park,2022-06-16,57.0,129,-42
Riverside,2022-06-17,58.0,134,-46
Lake View,2022-06-18,59.5,139,-49
Meadowlands,2022-06-19,62.5,144,-50
Greenwood,2022-06-20,64.0,149,-59
Woodland Park,2022-06-21,57.5,130,-43
Riverside,2022-06-22,58.5,135,-47
Lake View,2022-06-23,60.0,140,-50
Meadowlands,2022-06-24,63.0,145,-51
Greenwood,2022-06-25,64.5,150,-60
Woodland Park,2022-06-26,58.0,131,-44
Riverside,2022-06-27,59.0,136,-48
Lake View,2022-06-28,60.5,141,-51
Meadowlands,2022-06-29,63.5,146,-52
Greenwood,2022-06-30,65.0,151,-61
Woodland Park,2022-07-01,58.5,132,-45
Riverside,2022-07-02,59.5,137,-49
Lake View,2022-07-03,61.0,142,-52
Meadowlands,2022-07-04,64.0,147,-53
Greenwood,2022-07-05,65.5,152,-62
Woodland Park,2022-07-06,59.0,133,-46
Riverside,2022-07-07,60.0,138,-50
Lake View,2022-07-08,61.5,143,-53
Meadowlands,2022-07-09,64.5,148,-54
Greenwood,2022-07-10,66.0,153,-63
Woodland Park,2022-07-11,59.5,134,-47
Riverside,2022-07-12,60.5,139,-51
Lake View,2022-07-13,62.0,144,-54
Meadowlands,2022-07-14,65.0,149,-55
Greenwood,2022-07-15,66.5,154,-64
Woodland Park,2022-07-16,60.0,135,-48
Riverside,2022-07-17,61.0,140,-52
Lake View,2022-07-18,62.5,145,-55
Meadowlands,2022-07-19,65.5,150,-56
Greenwood,2022-07-20,67.0,155,-65
Woodland Park,2022-07-21,60.5,136,-49
Riverside,2022-07-22,61.5,141,-53
Lake View,2022-07-23,63.0,146,-56
Meadowlands,2022-07-24,66.0,151,-57
Greenwood,2022-07-25,67.5,156,-66
Woodland Park,2022-07-26,61.0,137,-50
Riverside,2022-07-27,62.0,142,-54
Lake View,2022-07-28,63.5,147,-57
Meadowlands,2022-07-29,66.5,152,-58
Greenwood,2022-07-30,68.0,157,-67
Woodland Park,2022-07-31,61.5,138,-51
Riverside,2022-08-01,62.5,143,-55
Lake View,2022-08-02,64.0,148,-58
Meadowlands,2022-08-03,67.0,153,-59
Greenwood,2022-08-04,68.5,158,-68
Woodland Park,2022-08-05,62.0,139,-52
Riverside,2022-08-06,63.0,144,-56
Lake View,2022-08-07,64.5,149,-59
Meadowlands,2022-08-08,67.5,154,-60
Greenwood,2022-08-09,69.0,159,-69
Woodland Park,2022-08-10,62.5,140,-53
Riverside,2022-08-11,63.5,145,-57
Lake View,2022-08-12,65.0,150,-60
Meadowlands,2022-08-13,68.0,155,-61
Greenwood,2022-08-14,69.5,160,-70
Woodland Park,2022-08-15,63.0,141,-54
Riverside,2022-08-16,64.0,146,-58
Lake View,2022-08-17,65.5,151,-61
Meadowlands,2022-08-18,68.5,156,-62
Greenwood,2022-08-19,70.0,161,-71
Woodland Park,2022-08-20,63.5,142,-55
Riverside,2022-08-21,64.5,147,-59
Lake View,2022-08-22,66.0,152,-62
Meadowlands,2022-08-23,69.0,157,-63
Greenwood,2022-08-24,70.5,162,-72
Woodland Park,2022-08-25,64.0,143,-56
Riverside,2022-08-26,65.0,148,-60
Lake View,2022-08-27,66.5,153,-63
Meadowlands,2022-08-28,69.5,158,-64
Greenwood,2022-08-29,71.0,163,-73
Woodland Park,2022-08-30,64.5,144,-57
Riverside,2022-08-31,65.5,149,-61
Lake View,2022-09-01,67.0,154,-64
Meadowlands,2022-09-02,70.0,159,-65
Greenwood,2022-09-03,71.5,164,-74
Woodland Park,2022-09-04,65.0,145,-58
Riverside,2022-09-05,66.0,150,-62
Lake View,2022-09-06,67.5,155,-65
Meadowlands,2022-09-07,70.5,160,-66
Greenwood,2022-09-08,72.0,165,-75
Woodland Park,2022-09-09,65.5,146,-59
Riverside,2022-09-10,66.5,151,-63
Lake View,2022-09-11,68.0,156,-66
Meadowlands,2022-09-12,71.0,161,-67
Greenwood,2022-09-13,72.5,166,-76
Woodland Park,2022-09-14,66.0,147,-60
Riverside,2022-09-15,67.0,152,-64
Lake View,2022-09-16,68.5,157,-67
Meadowlands,2022-09-17,71.5,162,-68
Greenwood,2022-09-18,73.0,167,-77
Woodland Park,2022-09-19,66.5,148,-61
Riverside,2022-09-20,67.5,153,-65
Lake View,2022-09-21,69.0,158,-68
Meadowlands,2022-09-22,72.0,163,-69
Greenwood,2022-09-23,73.5,168,-78
Woodland Park,2022-09-24,67.0,149,-62
Riverside,2022-09-25,68.0,154,-66
Lake View,2022-09-26,69.5,159,-69
Meadowlands,2022-09-27,72.5,164,-70
Greenwood,2022-09-28,74.0,169,-79
Woodland Park,2022-09-29,67.5,150,-63
Riverside,2022-09-30,68.5,155,-67
Lake View,2022-10-01,70.0,160,-70
Meadowlands,2022-10-02,73.0,165,-71
Greenwood,2022-10-03,74.5,170,-80
Woodland Park,2022-10-04,68.0,151,-64
Riverside,2022-10-05,69.0,156,-68
Lake View,2022-10-06,70.5,161,-71
Meadowlands,2022-10-07,73.5,166,-72
Greenwood,2022-10-08,75.0,171,-81
Woodland Park,2022-10-09,68.5,152,-65
Riverside,2022-10-10,69.5,157,-69
Lake View,2022-10-11,71.0,162,-72
Meadowlands,2022-10-12,74.0,167,-73
Greenwood,2022-10-13,75.5,172,-82
Woodland Park,2022-10-14,69.0,153,-66
Riverside,2022-10-15,70.0,158,-70
Lake View,2022-10-16,71.5,163,-73
Meadowlands,2022-10-17,74.5,168,-74
Greenwood,2022-10-18,76.0,173,-83
Woodland Park,2022-10-19,69.5,154,-67
Riverside,2022-10-20,70.5,159,-71
Lake View,2022-10-21,72.0,164,-74
Meadowlands,2022-10-22,75.0,169,-75
Greenwood,2022-10-23,76.5,174,-84
Woodland Park,2022-10-24,70.0,155,-68
Riverside,2022-10-25,71.0,160,-72
Lake View,2022-10-26,72.5,165,-75
Meadowlands,2022-10-27,75.5,170,-76
Greenwood,2022-10-28,77.0,175,-85
Woodland Park,2022-10-29,70.5,156,-69
Riverside,2022-10-30,71.5,161,-73
Lake View,2022-10-31,73.0,166,-76
Meadowlands,2022-11-01,76.0,171,-77
Greenwood,2022-11-02,77.5,176,-86
Woodland Park,2022-11-03,71.0,157,-70
Riverside,2022-11-04,72.0,162,-74
Lake View,2022-11-05,73.5,167,-77
Meadowlands,2022-11-06,76.5,172,-78
Greenwood,2022-11-07,78.0,177,-87
Woodland Park,2022-11-08,71.5,158,-71
Riverside,2022-11-09,72.5,163,-75
Lake View,2022-11-10,74.0,168,-78
Meadowlands,2022-11-11,77.0,173,-79
Greenwood,2022-11-12,78.5,178,-88
Woodland Park,2022-11-13,72.0,159,-72
Riverside,2022-11-14,73.0,164,-76
Lake View,2022-11-15,74.5,169,-79
Meadowlands,2022-11-16,77.5,174,-80
Greenwood,2022-11-17,79.0,179,-89
Woodland Park,2022-11-18,72.5,160,-73
Riverside,2022-11-19,73.5,165,-77
Lake View,2022-11-20,75.0,170,-80
Meadowlands,2022-11-21,78.0,175,-81
Greenwood,2022-11-22,79.5,180,-90
Woodland Park,2022-11-23,73.0,161,-74
Riverside,2022-11-24,74.0,166,-78
Lake View,2022-11-25,75.5,171,-81
Meadowlands,2022-11-26,78.5,176,-82
Greenwood,2022-11-27,80.0,181,-91
Woodland Park,2022-11-28,73.5,162,-75
Riverside,2022-11-29,74.5,167,-79
Lake View,2022-11-30,76.0,172,-82
Meadowlands,2022-12-01,79.0,177,-83
Greenwood,2022-12-02,80.5,182,-92
Woodland Park,2022-12-03,74.0,163,-76
Riverside,2022-12-04,75.0,168,-80
Lake View,2022-12-05,76.5,173,-83
Meadowlands,2022-12-06,79.5,178,-84
Greenwood,2022-12-07,81.0,183,-93
Woodland Park,2022-12-08,74.5,164,-77
Riverside,2022-12-09,75.5,169,-81
Lake View,2022-12-10,77.0,174,-84
Meadowlands,2022-12-11,80.0,179,-85
Greenwood,2022-12-12,81.5,184,-94
Woodland Park,2022-12-13,75.0,165,-78
Riverside,2022-12-14,76.0,170,-82
Lake View,2022-12-15,77.5,175,-85
Meadowlands,2022-12-16,80.5,180,-86
Greenwood,2022-12-17,82.0,185,-95
Woodland Park,2022-12-18,75.5,166,-79
Riverside,2022-12-19,76.5,171,-83
Lake View,2022-12-20,78.0,176,-86
Meadowlands,2022-12-21,81.0,181,-87
Greenwood,2022-12-22,82.5,186,-96
Woodland Park,2022-12-23,76.0,167,-80
Riverside,2022-12-24,77.0,172,-84
Lake View,2022-12-25,78.5,177,-87
Meadowlands,2022-12-26,81.5,182,-88
Greenwood,2022-12-27,83.0,187,-97
Woodland Park,2022-12-28,76.5,168,-81
Riverside,2022-12-29,77.5,173,-85
Lake View,2022-12-30,79.0,178,-88
Meadowlands,2022-12-31,82.0,183,-89
Greenwood,2023-01-01,83.5,188,-98
Woodland Park,2023-01-02,77.0,169,-82
Riverside,2023-01-03,78.0,174,-86
Lake View,2023-01-04,79.5,179,-89
Meadowlands,2023-01-05,82.5,184,-90
Greenwood,2023-01-06,84.0,189,-99
Woodland Park,2023-01-07,77.5,170,-83
Riverside,2023-01-08,78.5,175,-87
Lake View,2023-01-09,80.0,180,-90
Meadowlands,2023-01-10,83.0,185,-91
Greenwood,2023-01-11,84.5,190,-100
Woodland Park,2023-01-12,78.0,171,-84
Riverside,2023-01-13,79.0,176,-88
Lake View,2023-01-14,80.5,181,-91
Meadowlands,2023-01-15,83.5,186,-92
Greenwood,2023-01-16,85.0,191,-101
Woodland Park,2023-01-17,78.5,172,-85
Riverside,2023-01-18,79.5,177,-89
Lake View,2023-01-19,81.0,182,-92
Meadowlands,2023-01-20,84.0,187,-93
Greenwood,2023-01-21,85.5,192,-102
Woodland Park,2023-01-22,79.0,173,-86
Riverside,2023-01-23,80.0,178,-90
