ObservationId,SpeciesId,Location,Date,Quantity
103,103,Dreamy Beach,2021-08-02,110
104,104,Sunset Bay,2021-08-03,111
105,105,Tranquil Shores,2021-08-04,112
106,106,Starlight Beach,2021-08-05,113
107,107,Harmony Bay,2021-08-06,114
108,108,Secret Cove,2021-08-07,115
109,109,Golden Cove,2021-08-08,116
110,110,Tranquility Beach,2021-08-09,117
111,111,Sunrise Bay,2021-08-10,118
112,112,Paradise Beach,2021-08-11,119
113,113,Blissful Shores,2021-08-12,120
114,114,Starry Beach,2021-08-13,121
115,115,Dreamy Cove,2021-08-14,122
116,116,Sunset Shores,2021-08-15,123
117,117,Tranquil Bay,2021-08-16,124
118,118,Starlight Cove,2021-08-17,125
119,119,Golden Shores,2021-08-18,126
120,120,Tranquility Bay,2021-08-19,127
121,121,Sunrise Shores,2021-08-20,128
122,122,Paradise Cove,2021-08-21,129
123,123,Blissful Bay,2021-08-22,130
124,124,Starry Cove,2021-08-23,131
125,125,Dreamy Beach,2021-08-24,132
126,126,Sunset Bay,2021-08-25,133
127,127,Tranquil Shores,2021-08-26,134
128,128,Starlight Beach,2021-08-27,135
129,129,Harmony Bay,2021-08-28,136
130,130,Secret Cove,2021-08-29,137
131,131,Golden Cove,2021-08-30,138
132,132,Tranquility Beach,2021-08-31,139
133,133,Sunrise Bay,2021-09-01,140
134,134,Paradise Beach,2021-09-02,141
135,135,Blissful Shores,2021-09-03,142
136,136,Starry Beach,2021-09-04,143
137,137,Dreamy Cove,2021-09-05,144
138,138,Sunset Shores,2021-09-06,145
139,139,Tranquil Bay,2021-09-07,146
140,140,Starlight Cove,2021-09-08,147
141,141,Golden Shores,2021-09-09,148
142,142,Tranquility Bay,2021-09-10,149
143,143,Sunrise Shores,2021-09-11,150
144,144,Paradise Cove,2021-09-12,151
145,145,Blissful Bay,2021-09-13,152
146,146,Starry Cove,2021-09-14,153
147,147,Dreamy Beach,2021-09-15,154
148,148,Sunset Bay,2021-09-16,155
149,149,Tranquil Shores,2021-09-17,156
150,150,Starlight Beach,2021-09-18,157
151,151,Harmony Bay,2021-09-19,158
152,152,Secret Cove,2021-09-20,159
153,153,Golden Cove,2021-09-21,160
154,154,Tranquility Beach,2021-09-22,161
155,155,Sunrise Bay,2021-09-23,162
156,156,Paradise Beach,2021-09-24,163
157,157,Blissful Shores,2021-09-25,164
158,158,Starry Beach,2021-09-26,165
159,159,Dreamy Cove,2021-09-27,166
160,160,Sunset Shores,2021-09-28,167
161,161,Tranquil Bay,2021-09-29,168
162,162,Starlight Cove,2021-09-30,169
163,163,Golden Shores,2021-10-01,170
164,164,Tranquility Bay,2021-10-02,171
165,165,Sunrise Shores,2021-10-03,172
166,166,Paradise Cove,2021-10-04,173
167,167,Blissful Bay,2021-10-05,174
168,168,Starry Cove,2021-10-06,175
169,169,Dreamy Beach,2021-10-07,176
170,170,Sunset Bay,2021-10-08,177
171,171,Tranquil Shores,2021-10-09,178
172,172,Starlight Beach,2021-10-10,179
173,173,Harmony Bay,2021-10-11,180
174,174,Secret Cove,2021-10-12,181
175,175,Golden Cove,2021-10-13,182
176,176,Tranquility Beach,2021-10-14,183
177,177,Sunrise Bay,2021-10-15,184
178,178,Paradise Beach,2021-10-16,185
179,179,Blissful Shores,2021-10-17,186
180,180,Starry Beach,2021-10-18,187
181,181,Dreamy Cove,2021-10-19,188
182,182,Sunset Shores,2021-10-20,189
183,183,Tranquil Bay,2021-10-21,190
184,184,Starlight Cove,2021-10-22,191
185,185,Golden Shores,2021-10-23,192
186,186,Tranquility Bay,2021-10-24,193
187,187,Sunrise Shores,2021-10-25,194
188,188,Paradise Cove,2021-10-26,195
189,189,Blissful Bay,2021-10-27,196
190,190,Starry Cove,2021-10-28,197
191,191,Dreamy Beach,2021-10-29,198
192,192,Sunset Bay,2021-10-30,199
193,193,Tranquil Shores,2021-10-31,200
194,194,Starlight Beach,2021-11-01,201
195,195,Harmony Bay,2021-11-02,202
196,196,Secret Cove,2021-11-03,203
197,197,Golden Cove,2021-11-04,204
198,198,Tranquility Beach,2021-11-05,205
199,199,Sunrise Bay,2021-11-06,206
200,200,Paradise Beach,2021-11-07,207
201,201,Blissful Shores,2021-11-08,208
202,202,Starry Beach,2021-11-09,209
203,203,Dreamy Cove,2021-11-10,210
204,204,Sunset Shores,2021-11-11,211
205,205,Tranquil Bay,2021-11-12,212
206,206,Starlight Cove,2021-11-13,213
207,207,Golden Shores,2021-11-14,214
208,208,Tranquility Bay,2021-11-15,215
209,209,Sunrise Shores,2021-11-16,216
210,210,Paradise Cove,2021-11-17,217
211,211,Blissful Bay,2021-11-18,218
212,212,Starry Cove,2021-11-19,219
213,213,Dreamy Beach,2021-11-20,220
214,214,Sunset Bay,2021-11-21,221
215,215,Tranquil Shores,2021-11-22,222
216,216,Starlight Beach,2021-11-23,223
217,217,Harmony Bay,2021-11-24,224
218,218,Secret Cove,2021-11-25,225
219,219,Golden Cove,2021-11-26,226
220,220,Tranquility Beach,2021-11-27,227
221,221,Sunrise Bay,2021-11-28,228
222,222,Paradise Beach,2021-11-29,229
223,223,Blissful Shores,2021-11-30,230
224,224,Starry Beach,2021-12-01,231
225,225,Dreamy Cove,2021-12-02,232
226,226,Sunset Shores,2021-12-03,233
227,227,Tranquil Bay,2021-12-04,234
228,228,Starlight Cove,2021-12-05,235
229,229,Golden Shores,2021-12-06,236
230,230,Tranquility Bay,2021-12-07,237
231,231,Sunrise Shores,2021-12-08,238
232,232,Paradise Cove,2021-12-09,239
233,233,Blissful Bay,2021-12-10,240
234,234,Starry Cove,2021-12-11,241
235,235,Dreamy Beach,2021-12-12,242
236,236,Sunset Bay,2021-12-13,243
237,237,Tranquil Shores,2021-12-14,244
238,238,Starlight Beach,2021-12-15,245
239,239,Harmony Bay,2021-12-16,246
240,240,Secret Cove,2021-12-17,247
241,241,Golden Cove,2021-12-18,248
242,242,Tranquility Beach,2021-12-19,249
243,243,Sunrise Bay,2021-12-20,250
244,244,Paradise Beach,2021-12-21,251
245,245,Blissful Shores,2021-12-22,252
246,246,Starry Beach,2021-12-23,253
247,247,Dreamy Cove,2021-12-24,254
248,248,Sunset Shores,2021-12-25,255
249,249,Tranquil Bay,2021-12-26,256
250,250,Starlight Cove,2021-12-27,257
251,251,Golden Shores,2021-12-28,258
252,252,Tranquility Bay,2021-12-29,259
253,253,Sunrise Shores,2021-12-30,260
254,254,Paradise Cove,2021-12-31,261
255,255,Blissful Bay,2022-01-01,262
256,256,Starry Cove,2022-01-02,263
257,257,Dreamy Beach,2022-01-03,264
258,258,Sunset Bay,2022-01-04,265
259,259,Tranquil Shores,2022-01-05,266
260,260,Starlight Beach,2022-01-06,267
261,261,Harmony Bay,2022-01-07,268
262,262,Secret Cove,2022-01-08,269
263,263,Golden Cove,2022-01-09,270
264,264,Tranquility Beach,2022-01-10,271
265,265,Sunrise Bay,2022-01-11,272
266,266,Paradise Beach,2022-01-12,273
267,267,Blissful Shores,2022-01-13,274
268,268,Starry Beach,2022-01-14,275
269,269,Dreamy Cove,2022-01-15,276
270,270,Sunset Shores,2022-01-16,277
271,271,Tranquil Bay,2022-01-17,278
272,272,Starlight Cove,2022-01-18,279
273,273,Golden Shores,2022-01-19,280
274,274,Tranquility Bay,2022-01-20,281
275,275,Sunrise Shores,2022-01-21,282
276,276,Paradise Cove,2022-01-22,283
277,277,Blissful Bay,2022-01-23,284
278,278,Starry Cove,2022-01-24,285
279,279,Dreamy Beach,2022-01-25,286
280,280,Sunset Bay,2022-01-26,287
281,281,Tranquil Shores,2022-01-27,288
282,282,Starlight Beach,2022-01-28,289
283,283,Harmony Bay,2022-01-29,290
284,284,Secret Cove,2022-01-30,291
285,285,Golden Cove,2022-01-31,292
286,286,Tranquility Beach,2022-02-01,293
287,287,Sunrise Bay,2022-02-02,294
288,288,Paradise Beach,2022-02-03,295
289,289,Blissful Shores,2022-02-04,296
290,290,Starry Beach,2022-02-05,297
291,291,Dreamy Cove,2022-02-06,298
292,292,Sunset Shores,2022-02-07,299
293,293,Tranquil Bay,2022-02-08,300
294,294,Starlight Cove,2022-02-09,301
295,295,Golden Shores,2022-02-10,302
296,296,Tranquility Bay,2022-02-11,303
297,297,Sunrise Shores,2022-02-12,304
298,298,Paradise Cove,2022-02-13,305
299,299,Blissful Bay,2022-02-14,306
300,300,Starry Cove,2022-02-15,307
301,301,Dreamy Beach,2022-02-16,308
302,302,Sunset Bay,2022-02-17,309
303,303,Tranquil Shores,2022-02-18,310
304,304,Starlight Beach,2022-02-19,311
305,305,Harmony Bay,2022-02-20,312
306,306,Secret Cove,2022-02-21,313
307,307,Golden Cove,2022-02-22,314
308,308,Tranquility Beach,2022-02-23,315
309,309,Sunrise Bay,2022-02-24,316
310,310,Paradise Beach,2022-02-25,317
311,311,Blissful Shores,2022-02-26,318
312,312,Starry Beach,2022-02-27,319
313,313,Dreamy Cove,2022-02-28,320
314,314,Sunset Shores,2022-03-01,321
315,315,Tranquil Bay,2022-03-02,322
316,316,Starlight Cove,2022-03-03,323
317,317,Golden Shores,2022-03-04,324
318,318,Tranquility Bay,2022-03-05,325
319,319,Sunrise Shores,2022-03-06,326
320,320,Paradise Cove,2022-03-07,327
321,321,Blissful Bay,2022-03-08,328
322,322,Starry Cove,2022-03-09,329
323,323,Dreamy Beach,2022-03-10,330
324,324,Sunset Bay,2022-03-11,331
325,325,Tranquil Shores,2022-03-12,332
326,326,Starlight Beach,2022-03-13,333
327,327,Harmony Bay,2022-03-14,334
328,328,Secret Cove,2022-03-15,335
329,329,Golden Cove,2022-03-16,336
330,330,Tranquility Beach,2022-03-17,337
331,331,Sunrise Bay,2022-03-18,338
332,332,Paradise Beach,2022-03-19,339
333,333,Blissful Shores,2022-03-20,340
334,334,Starry Beach,2022-03-21,341
335,335,Dreamy Cove,2022-03-22,342
336,336,Sunset Shores,2022-03-23,343
337,337,Tranquil Bay,2022-03-24,344
338,338,Starlight Cove,2022-03-25,345
339,339,Golden Shores,2022-03-26,346
340,340,Tranquility Bay,2022-03-27,347
341,341,Sunrise Shores,2022-03-28,348
342,342,Paradise Cove,2022-03-29,349
343,343,Blissful Bay,2022-03-30,350
344,344,Starry Cove,2022-03-31,351
345,345,Dreamy Beach,2022-04-01,352
346,346,Sunset Bay,2022-04-02,353
347,347,Tranquil Shores,2022-04-03,354
348,348,Starlight Beach,2022-04-04,355
349,349,Harmony Bay,2022-04-05,356
350,350,Secret Cove,2022-04-06,357
351,351,Golden Cove,2022-04-07,358
352,352,Tranquility Beach,2022-04-08,359
353,353,Sunrise Bay,2022-04-09,360
354,354,Paradise Beach,2022-04-10,361
355,355,Blissful Shores,2022-04-11,362
356,356,Starry Beach,2022-04-12,363
357,357,Dreamy Cove,2022-04-13,364
358,358,Sunset Shores,2022-04-14,365
359,359,Tranquil Bay,2022-04-15,366
360,360,Starlight Cove,2022-04-16,367
361,361,Golden Shores,2022-04-17,368
362,362,Tranquility Bay,2022-04-18,369
363,363,Sunrise Shores,2022-04-19,370
364,364,Paradise Cove,2022-04-20,371
365,365,Blissful Bay,2022-04-21,372
366,366,Starry Cove,2022-04-22,373
367,367,Dreamy Beach,2022-04-23,374
368,368,Sunset Bay,2022-04-24,375
369,369,Tranquil Shores,2022-04-25,376
370,370,Starlight Beach,2022-04-26,377
371,371,Harmony Bay,2022-04-27,378
372,372,Secret Cove,2022-04-28,379
373,373,Golden Cove,2022-04-29,380
374,374,Tranquility Beach,2022-04-30,381
375,375,Sunrise Bay,2022-05-01,382
376,376,Paradise Beach,2022-05-02,383
377,377,Blissful Shores,2022-05-03,384
378,378,Starry Beach,2022-05-04,385
379,379,Dreamy Cove,2022-05-05,386
380,380,Sunset Shores,2022-05-06,387
381,381,Tranquil Bay,2022-05-07,388
382,382,Starlight Cove,2022-05-08,389
383,383,Golden Shores,2022-05-09,390
384,384,Tranquility Bay,2022-05-10,391
385,385,Sunrise Shores,2022-05-11,392
386,386,Paradise Cove,2022-05-12,393
387,387,Blissful Bay,2022-05-13,394
388,388,Starry Cove,2022-05-14,395
389,389,Dreamy Beach,2022-05-15,396
390,390,Sunset Bay,2022-05-16,397
391,391,Tranquil Shores,2022-05-17,398
392,392,Starlight Beach,2022-05-18,399
393,393,Harmony Bay,2022-05-19,400
394,394,Secret Cove,2022-05-20,401
395,395,Golden Cove,2022-05-21,402
396,396,Tranquility Beach,2022-05-22,403
397,397,Sunrise Bay,2022-05-23,404
398,398,Paradise Beach,2022-05-24,405
399,399,Blissful Shores,2022-05-25,406
400,400,Starry Beach,2022-05-26,407
401,401,Dreamy Cove,2022-05-27,408
402,402,Sunset Shores,2022-05-28,409
403,403,Tranquil Bay,2022-05-29,410
404,404,Starlight Cove,2022-05-30,411
405,405,Golden Shores,2022-05-31,412
406,406,Tranquility Bay,2022-06-01,413
407,407,Sunrise Shores,2022-06-02,414
408,408,Paradise Cove,2022-06-03,415
409,409,Blissful Bay,2022-06-04,416
410,410,Starry Cove,2022-06-05,417
411,411,Dreamy Beach,2022-06-06,418
412,412,Sunset Bay,2022-06-07,419
413,413,Tranquil Shores,2022-06-08,420
414,414,Starlight Beach,2022-06-09,421
415,415,Harmony Bay,2022-06-10,422
416,416,Secret Cove,2022-06-11,423
417,417,Golden Cove,2022-06-12,424
418,418,Tranquility Beach,2022-06-13,425
419,419,Sunrise Bay,2022-06-14,426
420,420,Paradise Beach,2022-06-15,427
421,421,Blissful Shores,2022-06-16,428
422,422,Starry Beach,2022-06-17,429
423,423,Dreamy Cove,2022-06-18,430
424,424,Sunset Shores,2022-06-19,431
425,425,Tranquil Bay,2022-06-20,432
426,426,Starlight Cove,2022-06-21,433
427,427,Golden Shores,2022-06-22,434
428,428,Tranquility Bay,2022-06-23,435
429,429,Sunrise Shores,2022-06-24,436
430,430,Paradise Cove,2022-06-25,437
431,431,Blissful Bay,2022-06-26,438
432,432,Starry Cove,2022-06-27,439
433,433,Dreamy Beach,2022-06-28,440
434,434,Sunset Bay,2022-06-29,441
435,435,Tranquil Shores,2022-06-30,442
436,436,Starlight Beach,2022-07-01,443
437,437,Harmony Bay,2022-07-02,444
438,438,Secret Cove,2022-07-03,445
439,439,Golden Cove,2022-07-04,446
440,440,Tranquility Beach,2022-07-05,447
441,441,Sunrise Bay,2022-07-06,448
442,442,Paradise Beach,2022-07-07,449
443,443,Blissful Shores,2022-07-08,450
444,444,Starry Beach,2022-07-09,451
445,445,Dreamy Cove,2022-07-10,452
446,446,Sunset Shores,2022-07-11,453
447,447,Tranquil Bay,2022-07-12,454
448,448,Starlight Cove,2022-07-13,455
449,449,Golden Shores,2022-07-14,456
450,450,Tranquility Bay,2022-07-15,457
451,451,Sunrise Shores,2022-07-16,458
452,452,Paradise Cove,2022-07-17,459
453,453,Blissful Bay,2022-07-18,460
454,454,Starry Cove,2022-07-19,461
455,455,Dreamy Beach,2022-07-20,462
456,456,Sunset Bay,2022-07-21,463
457,457,Tranquil Shores,2022-07-22,464
458,458,Starlight Beach,2022-07-23,465
459,459,Harmony Bay,2022-07-24,466
460,460,Secret Cove,2022-07-25,467
461,461,Golden Cove,2022-07-26,468
462,462,Tranquility Beach,2022-07-27,469
463,463,Sunrise Bay,2022-07-28,470
464,464,Paradise Beach,2022-07-29,471
465,465,Blissful Shores,2022-07-30,472
466,466,Starry Beach,2022-07-31,473
467,467,Dreamy Cove,2022-08-01,474
468,468,Sunset Shores,2022-08-02,475
469,469,Tranquil Bay,2022-08-03,476
470,470,Starlight Cove,2022-08-04,477
471,471,Golden Shores,2022-08-05,478
472,472,Tranquility Bay,2022-08-06,479
473,473,Sunrise Shores,2022-08-07,480
474,474,Paradise Cove,2022-08-08,481
475,475,Blissful Bay,2022-08-09,482
476,476,Starry Cove,2022-08-10,483
477,477,Dreamy Beach,2022-08-11,484
478,478,Sunset Bay,2022-08-12,485
479,479,Tranquil Shores,2022-08-13,486
480,480,Starlight Beach,2022-08-14,487
481,481,Harmony Bay,2022-08-15,488
482,482,Secret Cove,2022-08-16,489
483,483,Golden Cove,2022-08-17,490
484,484,Tranquility Beach,2022-08-18,491
485,485,Sunrise Bay,2022-08-19,492
486,486,Paradise Beach,2022-08-20,493
487,487,Blissful Shores,2022-08-21,494
488,488,Starry Beach,2022-08-22,495
489,489,Dreamy Cove,2022-08-23,496
490,490,Sunset Shores,2022-08-24,497
491,491,Tranquil Bay,2022-08-25,498
492,492,Starlight Cove,2022-08-26,499
493,493,Golden Shores,2022-08-27,500
